hgnc_symbol,nominations,initial_nomination,teams,study,input_data,pharos_class,classification,safety_bucket_definition,abability_bucket_definition,validation_study_details
SLC25A45,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.",""
SLC2A8,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SLC30A3,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SLC38A2,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tbio,"6: Probably small molecule druggable by homology: >=40% homologous to a  protein with a small molecule ligand identified from ChEMBL data, but the ligand does not meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.",""
SLC4A10,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","validation studies ongoing"
SLC5A3,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tbio,"2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.",""
SLC8A2,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SLCO1A2,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
SLIT1,1,"2020","Emory","Banner, ROSMAP","Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
SLIT3,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
SLITRK4,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SMAD4,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","4: Limited evidence that target is a secreted protein, ECM component or cell membrane-bound protein.","not prioritized for experimental validation"
SMOC1,1,"2020","Emory","Banner, ROSMAP","Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
SNAP25,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","1: Clinical data, evidence of tolerable safety profile in desired modality; target has a drug in phase IV in the appropriate modality, with good safety profile.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SNCA,1,"2019","Chang Lab","Mayo, Rush","Genetics, RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.",""
SNTB1,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
SNX32,1,"2020","Emory","Banner, ROSMAP","Genetics, Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","validation studies planned"
SP1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
SPCS1,1,"2018","Columbia-Rush","ROSMAP","Genetics, RNA",Tdark,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SPG7,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
SPI1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SPOCK1,1,"2020","Emory","Banner, ROSMAP","Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
SPOCK2,1,"2020","Emory","Banner, ROSMAP","Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
SPOCK3,1,"2020","Emory","Banner, ROSMAP","Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
SPON1,1,"2020","Emory","Banner, ROSMAP","Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
SPTLC3,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","validation studies ongoing"
SREBF1,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"2: Targetable by homology: >=40% homologous to a protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SREBF2,1,"2018","Duke","ADNI","Genetics, Metabolome",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SRR,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SRSF2,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","validation studies ongoing"
ST8SIA3,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
STARD10,1,"2019","Chang Lab","ROSMAP","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities.",""
STAU1,1,"2018","Columbia-Rush","ROSMAP","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities.","not prioritized for experimental validation"
STX1A,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
STX4,1,"2020","Emory","Banner, ROSMAP","Genetics, Protein",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","validation studies planned"
STX6,1,"2020","Emory","Banner, ROSMAP","Genetics, Protein",Tbio,"12: Potentially low ligandability: Has a structure but there is no evidence of a druggable pocket.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","validation studies planned"
STXBP5L,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SULT2A1,1,"2018","Duke","ADNI","Genetics, Metabolome",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities.","not prioritized for experimental validation"
SULT4A1,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.",""
SYK,1,"2018","MSSM","MSBB","Genetics, RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SYN1,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.",""
SYN2,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
SYNPO,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","5: Protein located in the cytosol. Not practically accessible to antibody-based therapies, but may be more easily accessible to other modalities.","not prioritized for experimental validation"
SYP,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
SYT12,1,"2018","Emory","ACT, BLSA","Protein",Tdark,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","validation studies ongoing"
SYT13,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
TESPA1,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
TGFB1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","5: Clinical data with evidence of intolerable safety profile/adverse drug reactions in the desired modality and with target engagement. Drug for target withdrawn on those grounds.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies ongoing"
TIMM13,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","6: Protein located in intracellular compartment.","not prioritized for experimental validation"
TIMP3,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies completed"
TLR1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
TLR2,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
TLR4,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","2: No major issues found from gene expression, genetic or pharmacological profiling, but has not been extensively tested in humans.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
TLR5,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","validation studies completed"
TMBIM1,1,"2018","MSSM","MSBB","Genetics, RNA",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
TMEFF2,1,"2020","Emory","Banner, ROSMAP","Protein",Tbio,"13: Unknown: There is no information on ligands or structure in any of the categories above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","validation studies ongoing"
TMEM184B,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tdark,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.",""
TMEM229B,1,"2018","Duke","ADNI","Genetics, Metabolome",Tdark,"13: Unknown: There is no information on ligands or structure in any of the categories above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
TMPO,1,"2018","Emory","ACT, BLSA","Protein",undefined,"13: Unknown: There is no information on ligands or structure in any of the categories above.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
TMX3,1,"2018","Columbia-Rush","ROSMAP","Clinical, Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","not prioritized for experimental validation"
TOMM70,1,"2018","Emory","ACT, BLSA","Protein",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
TPST1,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.",""
TREM2,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","1: Secreted protein. Highly accessible to antibody-based therapies.","validation studies completed"
TREML1,1,"2018","Mayo-UFL-ISB","Mayo","RNA",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
TRIOBP,1,"2018","Columbia-Rush","ROSMAP","Genetics, RNA",Tbio,"7: Potentially targetable by protein family structure:  is a member of a gene family which has a protein member with a druggable pocket in the protein structure.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","7: Dark target. Paucity of biological knowledge means progress will be difficult. Encourage others to investigate.","not prioritized for experimental validation"
TRPC3,1,"2021","JAX-VUMC-UW Resilience","AD-BXD mice","Genetics, Protein",Tchem,"1: Small molecule druggable: Protein with a small molecule ligand identified from ChEMBL, meeting TCRD activity criteria.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","validation studies completed"
TTBK2,1,"2020","MSSM","MSBB","Genetics, Protein",Tbio,"3: Targetable by structure: Structurally druggable protein, based on the presence of a druggable pocket in the protein (DrugEBIlity/CanSAR).","4: More than two of: high off target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.","not prioritized for experimental validation"
TTYH2,1,"2019","Chang Lab","Mayo, ROSMAP","Genetics, RNA",Tdark,"11: Druggable protein class, no other information: Is a member of a PHAROS druggable class of protein (enzyme, receptor, ion channel, nuclear hormone receptor, kinase) but does not meet any of the criteria above.","3: Two or fewer of: high off-target gene expression, cancer driver, essential gene, associated deleterious genetic disorder, HPO phenotype associated gene, or black box warning on clinically used drug.","3: Cell membrane-bound proteins. Highly accessible to antibody-based therapies, but potentially less so than secreted proteins or ECM components.",""
